codigo,nome,nome_cientifico,Energia (kcal),Umidade (g),Carboidrato total (g),Proteína (g),Lipídios (g),Fibra alimentar (g),Álcool (g),Cinzas (g),Colesterol (mg),Ácidos graxos saturados (g),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos trans (g),Cálcio (mg),Ferro (mg),Sódio (mg),Magnésio (mg),Fósforo (mg),Potássio (mg),Zinco (mg),Cobre (mg),Selênio (mcg),Vitamina A (RE) (mcg),Vitamina A (RAE) (mcg),Vitamina D (mcg),Alfa-tocoferol (Vitamina E) (mg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Vitamina C (mg),Equivalente de folato (mcg),Sal de adição (g),Açúcar de adição (g),codigo_FoodOn
C0039N,"Queijo, minas, padrão, light", ,276 kcal,49.1 g,7.38 g,21.2 g,17.9 g,0.00 g,0.00 g,4.41 g,31.0 mg,3.50 g,4.07 g,0.25 g,0.72 g,810 mg,0.56 mg,600 mg,26.1 mg,387 mg,115 mg,2.58 mg,0.07 mg,nan mcg,nan mcg,nan mcg,0.52 mcg,0.35 mg,0.03 mg,0.31 mg,tr mg,tr mg,1.74 mcg,0.00 mg,6.95 mcg,nan g,nan g,
C0038N,"Queijo, minas, padrão, zero% gordura", ,81 kcal,77.0 g,3.20 g,16.9 g,0.10 g,0.00 g,0.00 g,2.80 g,0.31 mg,0.06 g,0.03 g,0.00 g,0.00 g,303 mg,0.49 mg,16.4 mg,3.61 mg,64.6 mg,55.0 mg,0.15 mg,tr mg,nan mcg,nan mcg,1.02 mcg,0.01 mcg,0.00 mg,tr mg,0.13 mg,tr mg,tr mg,0.80 mcg,0.00 mg,3.31 mcg,nan g,nan g,
C0060G,"Queijo, minas, tipo parmesão", ,448 kcal,24.4 g,2.48 g,31.9 g,35.0 g,2.38 g,0.00 g,6.16 g,110 mg,20.6 g,9.09 g,0.42 g,1.22 g,1020 mg,1.12 mg,1662 mg,33.4 mg,744 mg,96.2 mg,4.36 mg,0.17 mg,24.0 mcg,84.0 mcg,76.6 mcg,0.68 mcg,0.30 mg,tr mg,0.42 mg,tr mg,0.22 mg,1.28 mcg,tr mg,7.47 mcg,nan g,0.00 g,
C0059G,"Queijo, muçarela (média de diferentes amostras)", ,320 kcal,46.4 g,1.97 g,23.8 g,24.1 g,0.00 g,0.00 g,3.71 g,76.2 mg,13.6 g,5.70 g,0.48 g,0.82 g,774 mg,0.27 mg,506 mg,22.8 mg,463 mg,68.4 mg,3.61 mg,0.06 mg,18.2 mcg,112 mcg,107 mcg,0.43 mcg,0.21 mg,tr mg,0.20 mg,tr mg,tr mg,2.45 mcg,0.00 mg,7.51 mcg,nan g,0.00 g,
C0074N,"Queijo, muçarela, light", ,251 kcal,53.8 g,2.77 g,24.3 g,15.9 g,0.00 g,0.00 g,3.27 g,64.0 mg,10.1 g,4.51 g,0.04 g,nan g,782 mg,0.22 mg,619 mg,23.0 mg,463 mg,84.0 mg,2.76 mg,0.03 mg,14.4 mcg,nan mcg,127 mcg,0.30 mcg,0.14 mg,0.02 mg,0.30 mg,0.11 mg,0.07 mg,0.82 mcg,0.00 mg,9.00 mcg,nan g,nan g,
C0061G,"Queijo, parmesão, ralado", ,478 kcal,19.9 g,4.83 g,32.1 g,36.7 g,2.52 g,0.00 g,6.48 g,42.0 mg,21.2 g,9.52 g,0.44 g,1.28 g,1050 mg,1.70 mg,1480 mg,33.9 mg,756 mg,97.8 mg,4.43 mg,0.17 mg,nan mcg,84.0 mcg,76.6 mcg,0.71 mcg,0.31 mg,tr mg,0.45 mg,tr mg,0.24 mg,1.36 mcg,tr mg,7.91 mcg,nan g,0.00 g,
C0063G,"Queijo, pasteurizado", ,310 kcal,54.1 g,4.12 g,10.5 g,27.9 g,0.00 g,0.00 g,3.42 g,83.6 mg,16.2 g,7.43 g,0.41 g,1.05 g,325 mg,0.27 mg,786 mg,16.1 mg,582 mg,195 mg,1.31 mg,0.05 mg,13.1 mcg,nan mcg,nan mcg,nan mcg,nan mg,tr mg,0.20 mg,tr mg,tr mg,1.03 mcg,tr mg,4.04 mcg,nan g,0.00 g,
C0062G,"Queijo, pasteurizado (média de diferentes amostras)", ,310 kcal,54.1 g,4.12 g,10.5 g,27.9 g,nan g,0.00 g,3.42 g,82.2 mg,15.9 g,7.30 g,0.40 g,1.03 g,323 mg,0.27 mg,780 mg,16.0 mg,577 mg,193 mg,1.30 mg,0.05 mg,nan mcg,nan mcg,804 mcg,nan mcg,nan mg,tr mg,0.20 mg,tr mg,tr mg,1.03 mcg,0.00 mg,4.04 mcg,nan g,0.00 g,
C0095N,"Queijo, pasteurizado, teor reduzido de lipídeos", ,175 kcal,58.9 g,3.50 g,24.6 g,7.00 g,0.00 g,0.00 g,6.00 g,35.0 mg,4.41 g,2.01 g,0.22 g,nan g,684 mg,0.43 mg,1789 mg,24.0 mg,827 mg,180 mg,3.32 mg,0.03 mg,16.6 mcg,nan mcg,57.0 mcg,0.10 mcg,0.27 mg,0.03 mg,0.39 mg,0.08 mg,0.08 mg,0.77 mcg,0.07 mg,9.00 mcg,nan g,nan g,
C0050G,"Queijo, petit suisse, sabor morango", ,123 kcal,72.2 g,18.5 g,5.79 g,2.84 g,nan g,0.00 g,0.70 g,12.1 mg,1.60 g,0.80 g,tr g,0.09 g,730 mg,0.14 mg,412 mg,26.5 mg,448 mg,121 mg,2.66 mg,0.01 mg,nan mcg,nan mcg,nan mcg,0.00 mcg,0.00 mg,0.22 mg,0.27 mg,2.68 mg,0.21 mg,0.62 mcg,0.00 mg,11.6 mcg,nan g,nan g,
C0064G,"Queijo, prato", ,346 kcal,44.3 g,0.20 g,24.2 g,27.6 g,nan g,0.00 g,3.68 g,90.9 mg,16.3 g,6.78 g,0.53 g,0.87 g,802 mg,0.26 mg,550 mg,27.9 mg,467 mg,79.7 mg,3.37 mg,0.07 mg,13.1 mcg,128 mcg,122 mcg,0.05 mcg,0.23 mg,tr mg,0.22 mg,tr mg,tr mg,2.52 mcg,0.00 mg,7.75 mcg,nan g,0.00 g,
C0057G,"Queijo, provolone", ,350 kcal,41.0 g,2.14 g,25.6 g,26.6 g,0.00 g,0.00 g,4.71 g,69.0 mg,17.2 g,7.39 g,0.77 g,nan g,756 mg,0.52 mg,876 mg,28.0 mg,496 mg,138 mg,3.23 mg,0.03 mg,nan mcg,nan mcg,236 mcg,0.50 mcg,0.23 mg,0.02 mg,0.32 mg,0.16 mg,0.07 mg,1.46 mcg,0.00 mg,10.00 mcg,nan g,nan g,
C0067G,"Queijo, requeijão", ,294 kcal,58.0 g,2.20 g,9.50 g,27.5 g,0.00 g,0.00 g,2.80 g,79.4 mg,14.8 g,6.90 g,0.32 g,0.71 g,291 mg,0.12 mg,572 mg,11.1 mg,459 mg,95.5 mg,1.44 mg,0.05 mg,nan mcg,nan mcg,nan mcg,0.48 mcg,0.74 mg,0.00 mg,0.20 mg,tr mg,tr mg,0.40 mcg,0.00 mg,12.1 mcg,nan g,0.00 g,
C0066G,"Queijo, requeijão (média de diferentes amostras)", ,281 kcal,59.1 g,3.03 g,9.91 g,25.5 g,0.00 g,0.00 g,2.46 g,80.2 mg,14.9 g,6.96 g,0.33 g,0.72 g,283 mg,0.13 mg,608 mg,10.8 mg,488 mg,101 mg,1.40 mg,0.05 mg,13.0 mcg,214 mcg,213 mcg,0.45 mcg,0.69 mg,tr mg,0.21 mg,tr mg,tr mg,0.39 mcg,tr mg,11.8 mcg,nan g,0.00 g,
C0065G,"Queijo, requeijao do norte (queijo de manteiga)", ,260 kcal,51.0 g,0.80 g,28.2 g,16.0 g,nan g,0.00 g,3.96 g,49.7 mg,8.62 g,3.64 g,0.22 g,0.64 g,644 mg,0.20 mg,464 mg,25.1 mg,372 mg,111 mg,2.49 mg,0.06 mg,nan mcg,nan mcg,nan mcg,0.13 mcg,0.33 mg,0.03 mg,0.30 mg,tr mg,tr mg,0.31 mcg,0.47 mg,57.0 mcg,nan g,0.00 g,
C0137G,"Queijo, requeijão, c/ queijo, cheddar", ,330 kcal,50.3 g,3.05 g,15.1 g,28.6 g,0.00 g,0.00 g,2.96 g,87.7 mg,16.5 g,7.88 g,0.76 g,0.80 g,454 mg,0.13 mg,626 mg,17.3 mg,474 mg,91.3 mg,2.30 mg,0.04 mg,19.2 mcg,625 mcg,259 mcg,0.51 mcg,0.70 mg,0.01 mg,0.14 mg,0.02 mg,0.03 mg,0.68 mcg,0.00 mg,17.9 mcg,nan g,nan g,
C0040N,"Queijo, requeijão, light", ,182 kcal,68.0 g,1.60 g,13.0 g,13.7 g,0.00 g,0.00 g,3.70 g,43.1 mg,8.01 g,3.74 g,0.18 g,0.39 g,221 mg,0.10 mg,475 mg,9.91 mg,381 mg,79.3 mg,1.09 mg,0.04 mg,nan mcg,nan mcg,nan mcg,0.24 mcg,tr mg,0.00 mg,0.16 mg,tr mg,tr mg,0.31 mcg,0.00 mg,9.25 mcg,nan g,nan g,
C0041N,"Queijo, requeijão, zero % gordura", ,68 kcal,79.5 g,4.15 g,12.5 g,0.10 g,0.00 g,0.00 g,3.75 g,0.31 mg,0.06 g,0.03 g,0.00 g,0.00 g,141 mg,0.06 mg,304 mg,6.35 mg,244 mg,50.8 mg,0.70 mg,0.02 mg,nan mcg,nan mcg,nan mcg,0.00 mcg,0.00 mg,tr mg,0.10 mg,tr mg,tr mg,0.20 mcg,tr mg,5.93 mcg,nan g,nan g,
C0051G,"Queijo, ricota", ,139 kcal,73.6 g,3.79 g,12.6 g,8.11 g,nan g,0.00 g,1.93 g,48.7 mg,4.50 g,2.40 g,0.20 g,0.25 g,253 mg,0.14 mg,282 mg,11.8 mg,161 mg,112 mg,0.46 mg,tr mg,nan mcg,56.3 mcg,54.6 mcg,0.12 mcg,0.07 mg,tr mg,0.15 mg,tr mg,tr mg,0.32 mcg,tr mg,11.2 mcg,nan g,0.00 g,
C0075N,"Queijo, ricota, light", ,137 kcal,74.5 g,5.08 g,11.4 g,7.91 g,0.00 g,0.00 g,1.15 g,31.0 mg,4.93 g,2.31 g,0.26 g,nan g,272 mg,0.44 mg,99.0 mg,15.0 mg,183 mg,125 mg,1.34 mg,0.03 mg,16.7 mcg,nan mcg,107 mcg,0.10 mcg,0.07 mg,0.19 mg,0.08 mg,0.02 mg,0.29 mg,0.82 mcg,0.00 mg,13.0 mcg,nan g,nan g,
C0071G,"Queijo, tilst", ,265 kcal,42.9 g,42.8 g,6.92 g,26.0 g,0.00 g,0.00 g,0.00 g,102 mg,16.8 g,7.14 g,0.72 g,nan g,700 mg,0.23 mg,753 mg,13.0 mg,500 mg,65.0 mg,3.22 mg,0.00 mg,26.9 mcg,nan mcg,71.0 mcg,20.0 mcg,0.00 mg,0.06 mg,0.36 mg,0.20 mg,0.06 mg,2.10 mcg,0.00 mg,20.0 mcg,nan g,0.00 g,
C0152H,Quentão, ,154 kcal,70.3 g,16.9 g,0.08 g,0.08 g,0.39 g,12.3 g,0.13 g,0.00 mg,0.03 g,0.00 g,0.01 g,0.00 g,4.56 mg,0.07 mg,3.77 mg,2.42 mg,2.58 mg,47.3 mg,0.01 mg,0.11 mg,0.12 mcg,0.00 mcg,0.05 mcg,0.00 mcg,0.08 mg,tr mg,0.01 mg,0.01 mg,tr mg,0.00 mcg,0.22 mg,0.45 mcg,0.00 g,15.0 g,
C0149H,Quentão de vinho, ,92 kcal,83.3 g,7.68 g,0.10 g,0.03 g,0.18 g,8.71 g,0.19 g,0.00 mg,0.01 g,0.00 g,0.01 g,0.00 g,11.2 mg,0.44 mg,3.15 mg,7.37 mg,6.35 mg,76.4 mg,0.08 mg,0.05 mg,0.18 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.02 mg,tr mg,0.02 mg,0.14 mg,0.04 mg,0.00 mcg,0.03 mg,0.88 mcg,0.00 g,5.00 g,
C0153H,"Quentão de vinho, c/ gemada", ,146 kcal,69.4 g,21.9 g,0.93 g,1.57 g,0.18 g,5.86 g,0.32 g,63.6 mg,0.47 g,0.61 g,0.21 g,0.00 g,22.4 mg,0.84 mg,6.72 mg,10.6 mg,26.2 mg,91.7 mg,0.23 mg,0.04 mg,1.84 mcg,23.4 mcg,23.2 mcg,0.31 mcg,0.73 mg,0.01 mg,0.03 mg,0.11 mg,0.03 mg,0.10 mcg,0.03 mg,7.99 mcg,0.00 g,20.0 g,
C0981A,"Quesadillas, c/ carne", ,295 kcal,40.7 g,25.9 g,16.0 g,14.6 g,1.97 g,0.00 g,2.85 g,39.9 mg,6.32 g,4.78 g,1.92 g,0.22 g,239 mg,2.53 mg,700 mg,23.5 mg,268 mg,166 mg,1.92 mg,0.10 mg,17.9 mcg,156 mcg,55.8 mcg,0.14 mcg,0.67 mg,0.27 mg,0.19 mg,3.09 mg,0.06 mg,0.49 mcg,0.98 mg,79.4 mcg,nan g,nan g,
C0980A,"Quesadillas, c/ frango", ,284 kcal,42.4 g,25.9 g,15.7 g,13.5 g,1.97 g,0.00 g,2.78 g,37.0 mg,5.64 g,4.38 g,2.00 g,0.20 g,240 mg,2.02 mg,695 mg,20.6 mg,252 mg,147 mg,1.28 mg,0.08 mg,18.6 mcg,156 mcg,55.8 mcg,0.11 mcg,0.67 mg,0.28 mg,0.17 mg,3.75 mg,0.05 mg,0.24 mcg,0.98 mg,77.1 mcg,nan g,nan g,
C1063B,"Quiabada, c/ charque bovino (carne seca, carne de sol, jaba),  c/ linguiça calabresa, c/ sal", ,123 kcal,75.8 g,4.81 g,10.5 g,6.88 g,1.89 g,0.00 g,2.06 g,nan mg,1.95 g,2.41 g,1.17 g,0.09 g,48.2 mg,1.28 mg,691 mg,19.0 mg,73.9 mg,166 mg,1.68 mg,0.10 mg,3.62 mcg,20.9 mcg,19.1 mcg,0.00 mcg,0.72 mg,0.13 mg,0.03 mg,0.74 mg,0.03 mg,0.46 mcg,8.65 mg,27.1 mcg,nan g,nan g,
C1135B,"Quiabo, à milanesa, s/ sal (quiabo, farinha de trigo, farinha de rosca, ovo, frito (c/ óleo de soja), s/ sal)", ,177 kcal,63.5 g,21.3 g,5.20 g,8.99 g,4.79 g,0.00 g,1.01 g,nan mg,1.60 g,2.24 g,4.77 g,0.05 g,93.8 mg,1.77 mg,52.7 mg,55.3 mg,102 mg,294 mg,0.92 mg,0.23 mg,6.73 mcg,17.5 mcg,17.5 mcg,0.21 mcg,1.03 mg,0.14 mg,0.06 mg,0.15 mg,0.04 mg,0.09 mcg,4.92 mg,98.4 mcg,nan g,nan g,
C0224B,"Quiabo, c/ casca, cozido, drenado, c/ óleo de soja, c/ sal",hibiscus esculentus l.,41 kcal,90.6 g,4.93 g,1.28 g,2.50 g,3.05 g,0.00 g,0.73 g,0.00 mg,0.39 g,0.57 g,1.45 g,0.01 g,76.3 mg,0.20 mg,128 mg,21.5 mg,35.9 mg,89.0 mg,0.32 mg,0.12 mg,0.19 mcg,34.1 mcg,17.0 mcg,0.00 mcg,0.44 mg,0.05 mg,tr mg,tr mg,0.01 mg,0.00 mcg,2.60 mg,41.7 mcg,0.32 g,0.00 g,
C0223B,"Quiabo, c/ casca, cozido, drenado, c/ óleo de soja, s/ sal",hibiscus esculentus l.,41 kcal,90.8 g,4.95 g,1.29 g,2.51 g,3.06 g,0.00 g,0.41 g,0.00 mg,0.39 g,0.57 g,1.46 g,0.01 g,76.5 mg,0.20 mg,0.48 mg,21.5 mg,36.1 mg,89.3 mg,0.32 mg,0.12 mg,0.19 mcg,34.2 mcg,17.1 mcg,0.00 mcg,0.44 mg,0.05 mg,tr mg,tr mg,0.01 mg,0.00 mcg,2.61 mg,41.9 mcg,0.00 g,0.00 g,
C0155B,"Quiabo, c/ casca, cozido, drenado, s/ óleo, c/ sal",hibiscus esculentus l.,20 kcal,93.1 g,5.07 g,1.32 g,0.12 g,3.13 g,0.00 g,0.42 g,0.00 mg,0.03 g,0.02 g,0.03 g,0.00 g,78.4 mg,0.20 mg,128 mg,22.0 mg,36.9 mg,91.5 mg,0.33 mg,0.12 mg,0.20 mcg,32.5 mcg,16.3 mcg,0.00 mcg,0.15 mg,0.05 mg,tr mg,tr mg,0.01 mg,0.00 mcg,2.67 mg,42.9 mcg,0.32 g,0.00 g,
C0200B,"Quiabo, c/ casca, refogado (c/ óleo, cebola e alho), c/ sal",hibiscus esculentus l.,32 kcal,91.4 g,4.99 g,1.39 g,1.35 g,2.99 g,0.00 g,0.86 g,0.00 mg,0.20 g,0.29 g,0.74 g,0.01 g,59.9 mg,0.27 mg,128 mg,32.7 mg,41.9 mg,185 mg,0.38 mg,0.12 mg,0.24 mcg,32.5 mcg,16.3 mcg,0.00 mcg,0.36 mg,0.07 mg,tr mg,tr mg,0.03 mg,0.00 mcg,3.51 mg,26.7 mcg,0.32 g,0.00 g,
C0199B,"Quiabo, c/ casca, refogado (c/ óleo, cebola e alho), s/ sal",hibiscus esculentus l.,33 kcal,91.4 g,5.31 g,1.39 g,1.35 g,2.99 g,0.00 g,0.54 g,0.00 mg,0.20 g,0.29 g,0.74 g,0.01 g,59.8 mg,0.27 mg,0.70 mg,32.7 mg,41.9 mg,185 mg,0.38 mg,0.12 mg,0.24 mcg,32.5 mcg,16.3 mcg,0.00 mcg,0.36 mg,0.07 mg,tr mg,tr mg,0.03 mg,0.00 mcg,3.51 mg,26.7 mcg,0.00 g,0.00 g,
C0055B,"Quiabo, cozido, drenado, s/ óleo, s/ sal",hibiscus esculentus l.,20 kcal,93.1 g,5.07 g,1.32 g,0.12 g,3.13 g,0.00 g,0.42 g,0.00 mg,0.03 g,0.02 g,0.03 g,0.00 g,78.3 mg,0.20 mg,0.49 mg,22.0 mg,36.9 mg,91.5 mg,0.32 mg,0.12 mg,0.20 mcg,32.5 mcg,16.3 mcg,0.00 mcg,0.15 mg,0.05 mg,tr mg,tr mg,0.01 mg,0.00 mcg,2.67 mg,42.9 mcg,0.00 g,0.00 g,
C0032B,"Quiabo, cru",hibiscus esculentus l.,27 kcal,90.8 g,6.52 g,1.77 g,0.20 g,4.08 g,0.00 g,0.72 g,0.00 mg,0.03 g,0.02 g,0.03 g,0.00 g,84.3 mg,0.36 mg,0.87 mg,45.5 mg,54.6 mg,243 mg,0.52 mg,0.16 mg,0.30 mcg,48.3 mcg,24.2 mcg,0.00 mcg,0.28 mg,0.10 mg,tr mg,tr mg,0.03 mg,0.00 mcg,5.47 mg,53.0 mcg,0.00 g,0.00 g,
C1079B,"Quibe com abóbora cabotian (japonesa), assado, c/ sal ", ,53 kcal,85.3 g,11.4 g,1.83 g,0.59 g,2.70 g,0.00 g,0.91 g,0.00 mg,0.09 g,0.13 g,0.27 g,0.00 g,10.0 mg,0.58 mg,202 mg,16.9 mg,30.0 mg,104 mg,0.33 mg,0.03 mg,0.36 mcg,181 mcg,92.0 mcg,0.00 mcg,2.17 mg,0.25 mg,0.01 mg,0.44 mg,0.07 mg,0.00 mcg,2.56 mg,11.4 mcg,0.50 g,0.00 g,
C1082B,"Quibe com batata, vegetariano, c/ sal", ,53 kcal,85.2 g,11.7 g,1.81 g,0.42 g,2.45 g,0.00 g,0.84 g,nan mg,0.07 g,0.08 g,0.23 g,0.00 g,9.05 mg,0.54 mg,202 mg,16.0 mg,28.2 mg,112 mg,0.31 mg,0.03 mg,0.12 mcg,27.2 mcg,14.7 mcg,0.00 mcg,0.08 mg,0.25 mg,0.01 mg,0.44 mg,0.07 mg,0.00 mcg,1.66 mg,10.5 mcg,0.00 g,0.32 g,
C0984F,"Quibe com carne bovina, c/ quinoa, assado, c/ sal ", ,163 kcal,63.2 g,8.69 g,21.5 g,5.01 g,1.25 g,0.00 g,1.56 g,69.1 mg,1.84 g,1.96 g,0.72 g,0.07 g,11.4 mg,2.28 mg,235 mg,39.1 mg,217 mg,315 mg,4.86 mg,0.08 mg,2.11 mcg,nan mcg,0.75 mcg,0.04 mcg,0.45 mg,0.06 mg,0.06 mg,1.80 mg,0.06 mg,1.21 mcg,0.68 mg,26.7 mcg,0.50 g,0.00 g,
C0985F,"Quibe com carne bovina, c/ quinoa, assado, s/ sal ", ,165 kcal,63.3 g,9.04 g,21.6 g,5.02 g,1.38 g,0.00 g,1.08 g,69.1 mg,1.84 g,1.96 g,0.73 g,0.07 g,13.5 mg,2.32 mg,36.0 mg,40.0 mg,218 mg,315 mg,4.87 mg,0.08 mg,2.13 mcg,nan mcg,0.89 mcg,0.04 mcg,0.46 mg,0.06 mg,0.06 mg,1.81 mg,0.06 mg,1.21 mcg,0.68 mg,26.8 mcg,0.00 g,0.00 g,
C1083B,"Quibe com cenoura e berinjela, c/ sal", ,42 kcal,88.0 g,9.17 g,1.49 g,0.46 g,2.47 g,0.00 g,0.88 g,nan mg,0.08 g,0.08 g,0.25 g,0.00 g,13.3 mg,0.52 mg,203 mg,15.4 mg,25.9 mg,119 mg,0.29 mg,0.04 mg,0.19 mcg,158 mcg,80.4 mcg,0.00 mcg,0.25 mg,0.18 mg,0.01 mg,0.34 mg,0.05 mg,0.00 mcg,1.57 mg,11.8 mcg,0.00 g,0.32 g,
C0272T,"Quibe de proteína de soja, c/ sal", ,136 kcal,62.0 g,19.3 g,15.0 g,0.74 g,4.29 g,0.00 g,2.83 g,nan mg,0.18 g,0.23 g,0.62 g,0.00 g,43.3 mg,3.30 mg,421 mg,20.0 mg,172 mg,109 mg,1.01 mg,0.03 mg,0.10 mcg,24.8 mcg,15.8 mcg,0.00 mcg,0.25 mg,0.15 mg,0.03 mg,0.61 mg,0.06 mg,0.00 mcg,9.75 mg,42.2 mcg,0.00 g,0.45 g,
C0283T,"Quibe de proteína de soja, s/ sal", ,136 kcal,62.5 g,19.4 g,15.1 g,0.74 g,4.32 g,0.00 g,2.35 g,nan mg,0.18 g,0.24 g,0.62 g,0.00 g,44.1 mg,3.35 mg,222 mg,20.4 mg,172 mg,111 mg,1.01 mg,0.03 mg,0.10 mcg,24.8 mcg,16.8 mcg,0.00 mcg,0.25 mg,0.15 mg,0.03 mg,0.61 mg,0.07 mg,0.00 mcg,9.82 mg,42.7 mcg,0.00 g,0.00 g,
C0149T,"Quibe vegetariano com cenoura, c/ sal", ,123 kcal,65.4 g,17.9 g,13.5 g,0.57 g,4.09 g,0.00 g,2.57 g,0.00 mg,0.08 g,0.12 g,0.30 g,0.00 g,40.2 mg,2.93 mg,378 mg,18.6 mg,154 mg,93.2 mg,0.91 mg,0.02 mg,0.11 mcg,122 mcg,62.3 mcg,0.00 mcg,0.25 mg,0.17 mg,0.03 mg,0.82 mg,0.06 mg,0.00 mcg,0.67 mg,38.6 mcg,0.50 g,0.00 g,
C0150T,"Quibe vegetariano com cenoura, s/ sal", ,123 kcal,65.8 g,18.0 g,13.6 g,0.58 g,4.14 g,0.00 g,2.08 g,0.00 mg,0.08 g,0.12 g,0.30 g,0.00 g,41.2 mg,2.98 mg,178 mg,19.0 mg,155 mg,95.2 mg,0.92 mg,0.02 mg,0.11 mcg,122 mcg,63.3 mcg,0.00 mcg,0.25 mg,0.17 mg,0.03 mg,0.82 mg,0.06 mg,0.00 mcg,0.73 mg,39.1 mcg,0.00 g,0.00 g,
C0245T,"Quibe vegetariano com lentilha, assado, c/ sal", ,166 kcal,55.0 g,25.5 g,15.3 g,1.48 g,5.53 g,0.00 g,2.66 g,0.00 mg,0.30 g,0.52 g,0.83 g,0.00 g,42.7 mg,3.32 mg,364 mg,29.6 mg,178 mg,124 mg,1.33 mg,0.09 mg,0.06 mcg,17.8 mcg,9.90 mcg,0.00 mcg,0.10 mg,0.17 mg,0.03 mg,0.86 mg,0.05 mg,0.00 mcg,0.72 mg,67.0 mcg,0.45 g,0.00 g,
C0246T,"Quibe vegetariano com lentilha, assado, s/ sal", ,166 kcal,55.4 g,25.6 g,15.3 g,1.48 g,5.56 g,0.00 g,2.17 g,0.00 mg,0.30 g,0.52 g,0.83 g,0.00 g,43.6 mg,3.38 mg,165 mg,29.9 mg,178 mg,126 mg,1.33 mg,0.09 mg,0.06 mcg,17.8 mcg,10.9 mcg,0.00 mcg,0.10 mg,0.17 mg,0.03 mg,0.87 mg,0.05 mg,0.00 mcg,0.79 mg,67.6 mcg,0.00 g,0.00 g,
C0151T,"Quibe vegetariano com tomate e pimentão, c/ sal", ,124 kcal,65.2 g,18.0 g,13.6 g,0.57 g,3.93 g,0.00 g,2.60 g,0.00 mg,0.08 g,0.12 g,0.30 g,0.00 g,39.3 mg,2.99 mg,402 mg,18.5 mg,156 mg,86.0 mg,0.91 mg,0.02 mg,0.07 mcg,25.8 mcg,16.4 mcg,0.00 mcg,0.20 mg,0.16 mg,0.03 mg,0.61 mg,0.07 mg,0.00 mcg,8.67 mg,39.5 mcg,0.50 g,0.00 g,
C0152T,"Quibe vegetariano com tomate e pimentão, s/ sal", ,124 kcal,65.6 g,18.1 g,13.6 g,0.58 g,3.98 g,0.00 g,2.11 g,0.00 mg,0.14 g,0.19 g,0.51 g,0.00 g,40.3 mg,3.05 mg,202 mg,18.8 mg,156 mg,88.0 mg,0.92 mg,0.03 mg,0.08 mcg,25.8 mcg,17.3 mcg,0.00 mcg,0.20 mg,0.16 mg,0.03 mg,0.61 mg,0.07 mg,0.00 mcg,8.73 mg,40.0 mcg,0.00 g,0.00 g,
C0830F,"Quibe, bovino, assado", ,133 kcal,68.7 g,12.8 g,14.5 g,2.66 g,0.00 g,0.00 g,1.29 g,33.6 mg,1.23 g,0.94 g,0.27 g,0.06 g,15.7 mg,2.14 mg,219 mg,35.9 mg,173 mg,286 mg,4.10 mg,0.51 mg,0.00 mcg,0.00 mcg,0.00 mcg,0.01 mcg,0.05 mg,0.04 mg,0.04 mg,1.80 mg,0.00 mg,0.67 mcg,0.00 mg,0.00 mcg,0.45 g,0.00 g,
C0921F,"Quibe, bovino, cru, c/ sal", ,107 kcal,74.2 g,10.7 g,12.3 g,1.66 g,nan g,0.00 g,1.16 g,26.8 mg,0.65 g,0.69 g,0.28 g,nan g,12.1 mg,1.65 mg,226 mg,25.6 mg,125 mg,240 mg,2.74 mg,0.13 mg,nan mcg,nan mcg,nan mcg,nan mcg,nan mg,0.09 mg,0.03 mg,1.20 mg,tr mg,0.55 mcg,tr mg,nan mcg,0.45 g,nan g,
C0206F,"Quibe, bovino, cru, s/ sal", ,108 kcal,74.5 g,10.8 g,12.4 g,1.67 g,nan g,0.00 g,0.69 g,26.9 mg,0.65 g,0.70 g,0.28 g,0.03 g,12.1 mg,1.65 mg,38.8 mg,25.7 mg,125 mg,241 mg,2.75 mg,0.13 mg,nan mcg,nan mcg,1.65 mcg,0.01 mcg,0.03 mg,0.09 mg,0.03 mg,1.20 mg,tr mg,0.55 mcg,tr mg,nan mcg,0.00 g,0.00 g,
C0877F,"Quibe, bovino, frito, c/sal", ,250 kcal,53.7 g,12.3 g,14.8 g,15.7 g,0.00 g,0.00 g,3.44 g,0.00 mg,4.56 g,5.00 g,4.98 g,0.26 g,21.7 mg,1.55 mg,1011 mg,38.6 mg,165 mg,321 mg,2.77 mg,0.16 mg,1.75 mcg,tr mcg,tr mcg,0.02 mcg,0.14 mg,0.12 mg,0.10 mg,1.50 mg,tr mg,0.75 mcg,tr mg,11.6 mcg,0.45 g,0.00 g,
C0207F,"Quibe, bovino, industrializado, frito", ,251 kcal,54.0 g,12.3 g,14.9 g,15.8 g,nan g,0.00 g,3.01 g,37.8 mg,4.58 g,5.03 g,5.00 g,0.26 g,21.7 mg,1.95 mg,835 mg,38.8 mg,165 mg,322 mg,2.78 mg,0.16 mg,nan mcg,nan mcg,15.6 mcg,0.07 mcg,0.30 mg,0.12 mg,0.10 mg,1.50 mg,tr mg,0.99 mcg,tr mg,nan mcg,0.00 g,0.00 g,
